"Customer ID","Age","Income","Vehicle Preference"
"CU001",25,5000000,"Sedan"
"CU002",30,7500000,"SUV"
"CU003",28,4000000,"Hatchback"
"CU004",35,10000000,"Luxury Car"
"CU005",22,3000000,"Motorcycle"
"CU006",40,12000000,"Truck"
"CU007",27,6000000,"Sedan"
"CU008",32,9000000,"SUV"
"CU009",29,4500000,"Hatchback"
"CU010",38,11000000,"Luxury Car"
"CU011",24,3500000,"Motorcycle"
"CU012",45,13000000,"Truck"
"CU013",26,5500000,"Sedan"
"CU014",31,8000000,"SUV"
"CU015",33,10500000,"Luxury Car"
"CU016",41,12500000,"Truck"
"CU017",23,3200000,"Motorcycle"
"CU018",36,10200000,"Luxury Car"
"CU019",29,4800000,"Hatchback"
"CU020",25,5200000,"Sedan"
"CU021",34,9500000,"SUV"
"CU022",42,13500000,"Truck"
"CU023",27,5800000,"Sedan"
"CU024",30,7000000,"SUV"
"CU025",38,10800000,"Luxury Car"
"CU026",24,3300000,"Motorcycle"
"CU027",45,14000000,"Truck"
"CU028",26,5000000,"Sedan"
"CU029",31,8500000,"SUV"
"CU030",39,11500000,"Luxury Car"
"CU031",22,3100000,"Motorcycle"
"CU032",43,14500000,"Truck"
"CU033",28,6200000,"Sedan"
"CU034",32,9200000,"SUV"
"CU035",40,12000000,"Luxury Car"
"CU036",25,5400000,"Sedan"
"CU037",29,4900000,"Hatchback"
"CU038",36,10400000,"Luxury Car"
"CU039",23,3400000,"Motorcycle"
"CU040",41,13000000,"Truck"
"CU041",27,5900000,"Sedan"
"CU042",33,9600000,"SUV"
"CU043",38,11200000,"Luxury Car"
"CU044",24,3600000,"Motorcycle"
"CU045",45,15000000,"Truck"
"CU046",26,5100000,"Sedan"
"CU047",30,7200000,"SUV"
"CU048",39,11800000,"Luxury Car"
"CU049",22,3200000,"Motorcycle"
"CU050",42,14200000,"Truck"
"CU051",28,6300000,"Sedan"
"CU052",31,8800000,"SUV"
"CU053",40,12200000,"Luxury Car"
"CU054",25,5300000,"Sedan"
"CU055",29,5000000,"Hatchback"
"CU056",36,10600000,"Luxury Car"
"CU057",23,3500000,"Motorcycle"
"CU058",41,13800000,"Truck"
"CU059",27,6100000,"Sedan"
"CU060",32,9400000,"SUV"
"CU061",38,11400000,"Luxury Car"
"CU062",24,3700000,"Motorcycle"
"CU063",45,15200000,"Truck"
"CU064",26,5200000,"Sedan"
"CU065",30,7400000,"SUV"
"CU066",39,12000000,"Luxury Car"
"CU067",22,3300000,"Motorcycle"
"CU068",42,14400000,"Truck"
"CU069",28,6500000,"Sedan"
"CU070",31,9000000,"SUV"
"CU071",40,12400000,"Luxury Car"
"CU072",25,5500000,"Sedan"
"CU073",29,5100000,"Hatchback"
"CU074",36,10800000,"Luxury Car"
"CU075",23,3600000,"Motorcycle"
"CU076",41,14000000,"Truck"
"CU077",27,6200000,"Sedan"
"CU078",32,9600000,"SUV"
"CU079",38,11600000,"Luxury Car"
"CU080",24,3800000,"Motorcycle"
"CU081",45,15400000,"Truck"
"CU082",26,5300000,"Sedan"
"CU083",30,7600000,"SUV"
"CU084",39,12200000,"Luxury Car"
"CU085",22,3400000,"Motorcycle"
"CU086",42,14600000,"Truck"
"CU087",28,6600000,"Sedan"
"CU088",31,9200000,"SUV"
"CU089",40,12600000,"Luxury Car"
"CU090",25,5700000,"Sedan"
"CU091",29,5200000,"Hatchback"
"CU092",36,11000000,"Luxury Car"
"CU093",23,3700000,"Motorcycle"
"CU094",41,14200000,"Truck"
"CU095",27,6300000,"Sedan"
"CU096",32,9800000,"SUV"
"CU097",38,11800000,"Luxury Car"
"CU098",24,3900000,"Motorcycle"
"CU099",45,15600000,"Truck"
"CU100",26,5400000,"Sedan"